0	0
0	1
0	2
0	2
0	2
0	2
0	2
0	3
0	0
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	1
0	13
0	14
0	6
0	15
0	15
0	4
0	6
0	16
0	17
0	18
0	13
0	10
0	19
0	3
0	20
0	21
0	22
0	23
0	24
0	25
0	8
0	26
1	0
1	0
1	4
1	5
1	6
1	7
1	8
1	6
1	6
1	10
1	11
1	15
1	15
1	4
1	6
1	16
1	17
1	18
1	13
1	10
1	19
1	3
1	20
1	21
1	22
1	23
1	24
1	25
1	8
1	26
2	0
2	0
2	4
2	5
2	6
2	7
2	8
2	5
2	17
2	18
2	27
2	28
2	29
2	30
2	13
2	10
2	11
2	15
2	15
2	4
2	6
2	16
2	17
2	18
2	13
2	10
2	19
2	3
2	20
2	21
2	22
2	23
2	24
2	25
2	8
2	26
3	0
3	0
3	4
3	5
3	6
3	7
3	8
3	4
3	19
3	3
3	16
3	31
3	32
3	10
3	11
3	15
3	15
3	4
3	6
3	16
3	17
3	18
3	13
3	10
3	19
3	3
3	20
3	21
3	22
3	23
3	24
3	25
3	8
3	26
4	0
4	0
4	4
4	5
4	6
4	7
4	8
4	4
4	19
4	3
4	16
4	31
4	32
4	19
4	33
4	10
4	11
4	15
4	15
4	4
4	6
4	16
4	17
4	18
4	13
4	10
4	19
4	3
4	20
4	21
4	22
4	23
4	24
4	25
4	8
4	26
5	0
5	0
5	4
5	5
5	6
5	7
5	8
5	5
5	17
5	18
5	27
5	28
5	29
5	30
5	13
5	34
5	35
5	36
5	37
5	38
5	5
5	39
5	40
5	41
5	42
5	10
5	11
5	15
5	15
5	4
5	6
5	16
5	17
5	18
5	13
5	10
5	19
5	3
5	20
5	21
5	22
5	23
5	24
5	25
5	8
5	26
6	0
6	0
6	4
6	5
6	6
6	7
6	8
6	6
6	43
6	44
6	45
6	46
6	47
6	48
6	49
6	50
6	51
6	52
6	6
6	12
6	6
6	1
6	6
6	14
6	6
6	53
6	6
6	54
6	6
6	55
6	56
6	57
6	58
6	59
6	10
6	11
6	15
6	15
6	4
6	6
6	16
6	17
6	18
6	13
6	10
6	19
6	3
6	20
6	21
6	22
6	23
6	24
6	25
6	8
6	26
7	0
7	0
7	4
7	5
7	6
7	7
7	8
7	7
7	20
7	21
7	23
7	22
7	60
7	10
7	11
7	15
7	15
7	4
7	6
7	16
7	17
7	18
7	13
7	10
7	19
7	3
7	20
7	21
7	22
7	23
7	24
7	25
7	8
7	26
8	0
8	0
8	4
8	5
8	6
8	7
8	8
8	8
8	25
8	61
8	24
8	62
8	26
8	63
8	19
8	64
8	65
8	10
8	11
8	15
8	15
8	4
8	6
8	16
8	17
8	18
8	13
8	10
8	19
8	3
8	20
8	21
8	22
8	23
8	24
8	25
8	8
8	26
9	0
9	0
9	4
9	5
9	6
9	7
9	8
9	6
9	66
9	67
9	68
9	69
9	70
9	71
9	72
9	73
9	74
9	75
9	76
9	6
9	10
9	11
9	15
9	15
9	4
9	6
9	16
9	17
9	18
9	13
9	10
9	19
9	3
9	20
9	21
9	22
9	23
9	24
9	25
9	8
9	26
10	0
10	0
10	4
10	5
10	6
10	7
10	8
10	77
10	77
10	78
10	78
10	79
10	79
10	80
10	80
10	81
10	81
10	82
10	82
10	83
10	83
10	84
10	84
10	85
10	85
10	86
10	86
10	10
10	11
10	15
10	15
10	4
10	6
10	16
10	17
10	18
10	13
10	10
10	19
10	3
10	20
10	21
10	22
10	23
10	24
10	25
10	8
10	26
11	0
11	0
11	4
11	5
11	6
11	7
11	8
11	11
11	87
11	88
11	10
11	11
11	15
11	15
11	4
11	6
11	16
11	17
11	18
11	13
11	10
11	19
11	3
11	20
11	21
11	22
11	23
11	24
11	25
11	8
11	26
12	0
12	0
12	4
12	5
12	6
12	7
12	8
12	6
12	6
12	10
12	11
12	15
12	15
12	4
12	6
12	16
12	17
12	18
12	13
12	10
12	19
12	3
12	20
12	21
12	22
12	23
12	24
12	25
12	8
12	26
13	0
13	0
13	4
13	5
13	6
13	7
13	8
13	5
13	17
13	18
13	27
13	28
13	29
13	30
13	13
13	10
13	11
13	15
13	15
13	4
13	6
13	16
13	17
13	18
13	13
13	10
13	19
13	3
13	20
13	21
13	22
13	23
13	24
13	25
13	8
13	26
14	0
14	0
14	4
14	5
14	6
14	7
14	8
14	6
14	6
14	10
14	11
14	15
14	15
14	4
